Timestamp,¿Está dispuesto a completar esta encuesta por completo y una sola una vez?,Edad,Género,Ingresos mensuales promedio,Vivo en:,En mi recibo del servicio eléctrico dice que vivo en estrato,Filiación religiosa,Grupo Sanguíneo,¿Piensa votar en las próximas elecciones Alcaldía Bogotá 2015?,¿Tiene algún tipo de filiación con un grupo político?,"Ahora si, ¿Por quién piensa votar en las próxima elecciones Alcaldía Bogotá 2015?"
9/16/2015 13:41:56,Si,34-40,Femenino,16 a 30 SMMLV,Algún municipio cercano a Bogotá,5,Agnóstico,A+,Si,No,Daniel Raisbeck (Movimiento Libertario)
9/16/2015 14:05:39,Si,34-40,Femenino,7 a 10 SMMLV,Bogotá,3,Ninguna/Otra/No le importa,O+,Si,No,Enrique Peñalosa (seamos sinceros: Cambio Radical)
9/16/2015 14:14:40,Si,29-33,Masculino,7 a 10 SMMLV,Bogotá,4,"Católico, Apostólico y Romano",B+,Si,No,Daniel Raisbeck (Movimiento Libertario)
9/16/2015 14:35:23,Si,29-33,Femenino,1 a 2 SMMLV,Bogotá,4,Ateo,O+,Si,No,Enrique Peñalosa (seamos sinceros: Cambio Radical)
9/16/2015 14:37:51,Si,34-40,Masculino,4 a 6 SMMLV,Bogotá,3,Ninguna/Otra/No le importa,B+,Si,No,Clara López Obregón (Polo Democrático)
9/16/2015 14:39:08,Si,29-33,Femenino,1 a 2 SMMLV,Bogotá,3,"Católico, Apostólico y Romano",B+,Si,No,Enrique Peñalosa (seamos sinceros: Cambio Radical)
9/16/2015 15:44:45,Si,23-28,Masculino,4 a 6 SMMLV,Bogotá,3,Ninguna/Otra/No le importa,B+,Si,No,Daniel Raisbeck (Movimiento Libertario)
9/16/2015 16:33:06,Si,29-33,Masculino,"Soy freelance, no se que es recibir plata mensualmente","Lejos, muy lejos",3,Adventista de algún tipo,O+,No me decido/No me importa,No,Clara López Obregón (Polo Democrático)
9/16/2015 16:42:11,Si,23-28,Masculino,7 a 10 SMMLV,Bogotá,3,Ateo,A+,Si,No,Daniel Raisbeck (Movimiento Libertario)
9/16/2015 17:13:44,Si,29-33,Masculino,7 a 10 SMMLV,"Lejos, muy lejos",4,Agnóstico,B+,No,No,Rafael Pardo (Partido Liberal)
9/16/2015 17:18:54,Si,34-40,Masculino,11 a 15 SMMLV,"Lejos, muy lejos",4,Ateo,O+,Si,No,Clara López Obregón (Polo Democrático)
9/17/2015 8:04:20,Si,23-28,Masculino,7 a 10 SMMLV,Bogotá,3,"Católico, Apostólico y Romano",B+,Si,No,Enrique Peñalosa (seamos sinceros: Cambio Radical)
9/17/2015 9:15:10,Si,29-33,Masculino,"Soy freelance, no se que es recibir plata mensualmente",Bogotá,No tengo servicio eléctrico en mi casa / vivo debajo de un puente,Ateo,O+,Si,No,Rafael Pardo (Partido Liberal)
9/17/2015 10:12:13,Si,29-33,LGBTIYXUPAH,Menos de un SMMLV,Bogotá,3,Ateo,B+,Si,No,Daniel Raisbeck (Movimiento Libertario)
9/17/2015 10:22:05,Si,23-28,Masculino,1 a 2 SMMLV,Bogotá,4,Ninguna/Otra/No le importa,O+,Si,No,Enrique Peñalosa (seamos sinceros: Cambio Radical)
9/17/2015 10:47:50,Si,34-40,Femenino,1 a 2 SMMLV,Bogotá,4,Católico de otro tipo,A+,Si,No,Enrique Peñalosa (seamos sinceros: Cambio Radical)
9/17/2015 11:23:00,Si,29-33,Masculino,7 a 10 SMMLV,Bogotá,3,Católico de otro tipo,O+,Si,Si,Rafael Pardo (Partido Liberal)
9/17/2015 13:54:17,Si,29-33,Masculino,7 a 10 SMMLV,Bogotá,3,"Católico, Apostólico y Romano",O+,Si,No,Enrique Peñalosa (seamos sinceros: Cambio Radical)
9/17/2015 21:37:21,Si,29-33,Masculino,11 a 15 SMMLV,Bogotá,4,Ninguna/Otra/No le importa,O+,Si,No,Daniel Raisbeck (Movimiento Libertario)
9/18/2015 19:45:42,Si,29-33,Femenino,4 a 6 SMMLV,Bogotá,3,Ateo,A+,Si,Si,Clara López Obregón (Polo Democrático)
9/19/2015 6:06:08,Si,41-48,Femenino,3 SMMLV,Bogotá,3,"Católico, Apostólico y Romano",O+,Si,No,Francisco Santos (Centro Demoniaco)
9/20/2015 4:13:58,Si,29-33,Masculino,7 a 10 SMMLV,Bogotá,2,"Católico, Apostólico y Romano",O+,Si,No,En blanco/Nulo
9/20/2015 12:57:53,Si,29-33,Masculino,7 a 10 SMMLV,Bogotá,3,Ninguna/Otra/No le importa,A+,Si,No,Enrique Peñalosa (seamos sinceros: Cambio Radical)
9/20/2015 13:02:29,Si,41-48,Masculino,4 a 6 SMMLV,Bogotá,3,"Católico, Apostólico y Romano",B+,Si,No,Enrique Peñalosa (seamos sinceros: Cambio Radical)
9/20/2015 14:40:34,Si,34-40,Masculino,1 a 2 SMMLV,Bogotá,3,Ninguna/Otra/No le importa,A+,Si,No,Enrique Peñalosa (seamos sinceros: Cambio Radical)
10/4/2015 16:33:49,Si,34-40,Masculino,4 a 6 SMMLV,Bogotá,3,Católico de otro tipo,B+,Si,No,Clara López Obregón (Polo Democrático)
10/12/2015 21:33:24,Si,23-28,Masculino,1 a 2 SMMLV,Bogotá,3,Ninguna/Otra/No le importa,O+,Si,No,Clara López Obregón (Polo Democrático)
10/12/2015 21:34:26,Si,23-28,Masculino,3 SMMLV,Bogotá,3,Ninguna/Otra/No le importa,O+,Si,No,Clara López Obregón (Polo Democrático)
10/12/2015 21:34:52,Si,34-40,Femenino,Menos de un SMMLV,Bogotá,4,Ninguna/Otra/No le importa,A+,Si,No,Enrique Peñalosa (seamos sinceros: Cambio Radical)
10/12/2015 21:36:04,Si,18-22,Masculino,Menos de un SMMLV,Bogotá,5,Agnóstico,A+,Si,Si,Enrique Peñalosa (seamos sinceros: Cambio Radical)
10/12/2015 21:36:34,Si,34-40,Femenino,Menos de un SMMLV,Bogotá,4,Otra secta cristiana protestante,A+,Si,No,Enrique Peñalosa (seamos sinceros: Cambio Radical)
10/12/2015 21:39:40,Si,34-40,Femenino,3 SMMLV,Bogotá,4,"Católico, Apostólico y Romano",O+,Si,Si,Clara López Obregón (Polo Democrático)
10/12/2015 21:48:07,Si,23-28,Masculino,4 a 6 SMMLV,Bogotá,3,Cristiano Ortodoxo,O+,Si,No,Enrique Peñalosa (seamos sinceros: Cambio Radical)
10/12/2015 21:53:10,Si,34-40,Masculino,11 a 15 SMMLV,Bogotá,5,Ateo,O+,Si,No,Rafael Pardo (Partido Liberal)
10/12/2015 22:01:03,Si,18-22,Femenino,Menos de un SMMLV,Bogotá,4,Ninguna/Otra/No le importa,O+,Si,No,Enrique Peñalosa (seamos sinceros: Cambio Radical)
10/12/2015 22:02:21,Si,23-28,Masculino,4 a 6 SMMLV,Bogotá,3,"Católico, Apostólico y Romano",O+,Si,No,Enrique Peñalosa (seamos sinceros: Cambio Radical)
10/12/2015 22:02:37,Si,23-28,Masculino,4 a 6 SMMLV,Bogotá,3,"Católico, Apostólico y Romano",O+,Si,No,Enrique Peñalosa (seamos sinceros: Cambio Radical)
